name,url,level,hitpoints,max_hit,aggressive,accuracy,strength,defence,magic,range,speed,respawn_timer,rare_prob,root_prob,drop_table,rare_drop_table
Bandit,https://highspell.fandom.com/wiki/Bandit,10,14,2,Yes,6 + 5 bonus,6 + 4 bonus,6,1,1,2,30s,1/200,Never,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always""}, {""item"": ""Coins"", ""quantity"": ""5"", ""rarity"": ""1/2.5""}, {""item"": ""Coins"", ""quantity"": ""10"", ""rarity"": ""~1/6.66""}, {""item"": ""Bass"", ""quantity"": ""1"", ""rarity"": ""1/8""}, {""item"": ""Tomato"", ""quantity"": ""1"", ""rarity"": ""1/20""}, {""item"": ""Bronze gloves"", ""quantity"": ""1"", ""rarity"": ""1/20""}, {""item"": ""Red cape"", ""quantity"": ""1"", ""rarity"": ""1/25""}, {""item"": ""Orange cape"", ""quantity"": ""1"", ""rarity"": ""1/25""}, {""item"": ""Leather gloves"", ""quantity"": ""1"", ""rarity"": ""~1/28.57""}, {""item"": ""Bronze helm"", ""quantity"": ""1"", ""rarity"": ""1/40""}, {""item"": ""Bronze longsword"", ""quantity"": ""1"", ""rarity"": ""1/40""}, {""item"": ""Iron gloves"", ""quantity"": ""1"", ""rarity"": ""1/50""}, {""item"": ""Iron longsword"", ""quantity"": ""1"", ""rarity"": ""~1/66.66""}, {""item"": ""Black cape"", ""quantity"": ""1"", ""rarity"": ""1/250""}, {""item"": ""Bandit mask"", ""quantity"": ""1"", ""rarity"": ""1/1,000""}]","[{""item"": ""Rough Amethyst"", ""quantity"": ""1"", ""rarity"": ""20%"", ""chance"": ""1/500""}, {""item"": ""Rough Sapphire"", ""quantity"": ""1"", ""rarity"": ""17.5%"", ""chance"": ""1/800""}, {""item"": ""Rough Emerald"", ""quantity"": ""1"", ""rarity"": ""15%"", ""chance"": ""1/1333.4""}, {""item"": ""Rough Topaz"", ""quantity"": ""1"", ""rarity"": ""12.5%"", ""chance"": ""1/2666.6""}, {""item"": ""Rough Citrine"", ""quantity"": ""1"", ""rarity"": ""10%"", ""chance"": ""1/4000""}, {""item"": ""Rough Ruby"", ""quantity"": ""1"", ""rarity"": ""7.5%"", ""chance"": ""1/8000""}, {""item"": ""Rough Diamond"", ""quantity"": ""1"", ""rarity"": ""5%"", ""chance"": ""1/13,333.3""}, {""item"": ""Rough Carbonado"", ""quantity"": ""1"", ""rarity"": ""2.5%"", ""chance"": ""1/20,000""}, {""item"": ""Warp Scroll"", ""quantity"": ""50"", ""rarity"": ""1%"", ""chance"": ""1/20,000""}, {""item"": ""Alchemy Scroll"", ""quantity"": ""50"", ""rarity"": ""1%"", ""chance"": ""1/20,000""}, {""item"": ""Celadium Ore"", ""quantity"": ""1"", ""rarity"": ""1%"", ""chance"": ""1/40,816.4""}]"
Bandit (Archer),https://highspell.fandom.com/wiki/Bandit_(Lvl_18),18,14,?,Yes,6,6,6,1,20,2,Unknown,N/A,N/A,[],[]
Barbarian,https://highspell.fandom.com/wiki/Barbarian,20,26,???,Yes,15 + 10 bonus,15 + 15 bonus,15 + 10 bonus,1,1,1,Unknown,0.1%,0%,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always""}, {""item"": ""Coins"", ""quantity"": ""3"", ""rarity"": ""0.3""}, {""item"": ""Coins"", ""quantity"": ""5"", ""rarity"": ""0.15""}, {""item"": ""Coins"", ""quantity"": ""10"", ""rarity"": ""0.1""}, {""item"": ""Potato"", ""quantity"": ""1"", ""rarity"": ""0.05""}, {""item"": ""Iron Ore"", ""quantity"": ""1"", ""rarity"": ""0.05""}, {""item"": ""Raw Beef"", ""quantity"": ""1"", ""rarity"": ""0.05""}, {""item"": ""Raw Chicken"", ""quantity"": ""1"", ""rarity"": ""0.05""}, {""item"": ""Steak"", ""quantity"": ""1"", ""rarity"": ""0.035""}, {""item"": ""Chicken"", ""quantity"": ""1"", ""rarity"": ""0.035""}, {""item"": ""Iron Helm"", ""quantity"": ""1"", ""rarity"": ""0.03""}, {""item"": ""Iron Gloves"", ""quantity"": ""1"", ""rarity"": ""0.03""}, {""item"": ""Iron Battleaxe"", ""quantity"": ""1"", ""rarity"": ""0.025""}, {""item"": ""Coal"", ""quantity"": ""1"", ""rarity"": ""0.025""}, {""item"": ""Barbarian Helm"", ""quantity"": ""1"", ""rarity"": ""0.02""}, {""item"": ""Raw Salmon"", ""quantity"": ""1"", ""rarity"": ""0.01""}]",[]
Beach Gnome,https://highspell.fandom.com/wiki/Beach_gnome,18,25,???,No,20,15 + 10 bonus,15,10 + 5 bonus,1,1,Unknown,0.1,No,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always""}, {""item"": ""Coins"", ""quantity"": ""8"", ""rarity"": ""0.4""}, {""item"": ""Scroll (IOU)"", ""quantity"": ""2"", ""rarity"": ""0.1""}, {""item"": ""Coins"", ""quantity"": ""15"", ""rarity"": ""0.075""}, {""item"": ""Raw Crab"", ""quantity"": ""1"", ""rarity"": ""0.05""}, {""item"": ""Logs"", ""quantity"": ""1"", ""rarity"": ""0.05""}, {""item"": ""Fire Scroll"", ""quantity"": ""3"", ""rarity"": ""0.05""}, {""item"": ""Water Scroll"", ""quantity"": ""3"", ""rarity"": ""0.05""}, {""item"": ""Energy Scroll"", ""quantity"": ""3"", ""rarity"": ""0.05""}, {""item"": ""Crab"", ""quantity"": ""1"", ""rarity"": ""0.025""}, {""item"": ""Beer"", ""quantity"": ""1"", ""rarity"": ""0.025""}, {""item"": ""Clownfish"", ""quantity"": ""1"", ""rarity"": ""0.025""}, {""item"": ""Coins"", ""quantity"": ""20"", ""rarity"": ""0.025""}, {""item"": ""Gnome's Hat"", ""quantity"": ""1"", ""rarity"": ""0.02""}, {""item"": ""Amethyst Necklace"", ""quantity"": ""1"", ""rarity"": ""0.02""}, {""item"": ""Coconut"", ""quantity"": ""1"", ""rarity"": ""0.01""}]",[]
Big Squirrel,https://highspell.fandom.com/wiki/Big_squirrel,12,15,???,Yes,10,12,12,1,1,1,Unknown,No,No,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always""}, {""item"": ""Raw Rodent Meat"", ""quantity"": ""1"", ""rarity"": ""Always""}, {""item"": ""Squirrel Pelt"", ""quantity"": ""1"", ""rarity"": ""0.15""}]",[]
Black Bear,https://highspell.fandom.com/wiki/Black_bear,32,40,???,Unknown,30,35,25,1,1,1,Unknown,No,No,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always""}, {""item"": ""Raw Game Meat"", ""quantity"": ""1"", ""rarity"": ""Always""}, {""item"": ""Raw Game Meat"", ""quantity"": ""1"", ""rarity"": ""0.4""}, {""item"": ""Black Bear Paw"", ""quantity"": ""1"", ""rarity"": ""0.025""}]",[]
Blood Mage (Lvl 27),https://highspell.fandom.com/wiki/Blood_mage_(Lvl_27),27,32,???,Yes,24,28,20 + 10 bonus,30 + 15 bonus,1,1,Unknown,0.02,0.1,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always""}, {""item"": ""Coins"", ""quantity"": ""10"", ""rarity"": ""0.25""}, {""item"": ""Coins"", ""quantity"": ""15"", ""rarity"": ""0.1""}, {""item"": ""Fire Scroll"", ""quantity"": ""1"", ""rarity"": ""0.075""}, {""item"": ""Water Scroll"", ""quantity"": ""1"", ""rarity"": ""0.075""}, {""item"": ""Nature Scroll"", ""quantity"": ""1"", ""rarity"": ""0.075""}, {""item"": ""Fire Scroll"", ""quantity"": ""3"", ""rarity"": ""0.05""}, {""item"": ""Water Scroll"", ""quantity"": ""3"", ""rarity"": ""0.05""}, {""item"": ""Nature Scroll"", ""quantity"": ""3"", ""rarity"": ""0.05""}, {""item"": ""Energy Scroll"", ""quantity"": ""2"", ""rarity"": ""0.05""}, {""item"": ""Fury Scroll"", ""quantity"": ""2"", ""rarity"": ""0.04""}, {""item"": ""Rage Scroll"", ""quantity"": ""2"", ""rarity"": ""0.025""}, {""item"": ""Warp Scroll"", ""quantity"": ""1"", ""rarity"": ""0.025""}, {""item"": ""Alchemy Scroll"", ""quantity"": ""2"", ""rarity"": ""0.025""}, {""item"": ""Blood Robe Bottoms"", ""quantity"": ""1"", ""rarity"": ""0.004""}, {""item"": ""Blood Hat"", ""quantity"": ""1"", ""rarity"": ""0.004""}, {""item"": ""Potion of Magic (1)"", ""quantity"": ""1"", ""rarity"": ""0.0025""}]",[]
Blood Mage (Lvl 44),https://highspell.fandom.com/wiki/Blood_mage_(Lvl_44),44,42,???,Yes,35,35,30 + 15 bonus,40 + 15 bonus,1,1,Unknown,0.025,0.15,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always""}, {""item"": ""Coins"", ""quantity"": ""15"", ""rarity"": ""0.2""}, {""item"": ""Coins"", ""quantity"": ""25"", ""rarity"": ""0.1""}, {""item"": ""Fire Scroll"", ""quantity"": ""2"", ""rarity"": ""0.075""}, {""item"": ""Water Scroll"", ""quantity"": ""2"", ""rarity"": ""0.075""}, {""item"": ""Nature Scroll"", ""quantity"": ""2"", ""rarity"": ""0.075""}, {""item"": ""Fire Scroll"", ""quantity"": ""3"", ""rarity"": ""0.05""}, {""item"": ""Water Scroll"", ""quantity"": ""3"", ""rarity"": ""0.05""}, {""item"": ""Nature Scroll"", ""quantity"": ""3"", ""rarity"": ""0.05""}, {""item"": ""Energy Scroll"", ""quantity"": ""3"", ""rarity"": ""0.04""}, {""item"": ""Fury Scroll"", ""quantity"": ""2"", ""rarity"": ""0.04""}, {""item"": ""Warp Scroll"", ""quantity"": ""1"", ""rarity"": ""0.025""}, {""item"": ""Rage Scroll"", ""quantity"": ""2"", ""rarity"": ""0.025""}, {""item"": ""Alchemy Scroll"", ""quantity"": ""2"", ""rarity"": ""0.025""}, {""item"": ""Blood Robe Top"", ""quantity"": ""1"", ""rarity"": ""0.004""}, {""item"": ""Blood Robe Bottoms"", ""quantity"": ""1"", ""rarity"": ""0.004""}, {""item"": ""Blood Hood"", ""quantity"": ""1"", ""rarity"": ""0.004""}, {""item"": ""Potion of Magic (1)"", ""quantity"": ""1"", ""rarity"": ""0.0025""}]",[]
Brown Bear,https://highspell.fandom.com/wiki/Brown_bear,25,30,???,Unknown,20,30,20,1,1,1,Unknown,No,No,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always""}, {""item"": ""Raw Game Meat"", ""quantity"": ""1"", ""rarity"": ""Always""}, {""item"": ""Raw Game Meat"", ""quantity"": ""1"", ""rarity"": ""0.25""}, {""item"": ""Brown Bear Paw"", ""quantity"": ""1"", ""rarity"": ""0.025""}]",[]
Brute,https://highspell.fandom.com/wiki/Brute,48,50,?,Yes,15,40,25,1,1,1,Unknown,N/A,N/A,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always""}]",[]
